https://bit.ly/2qTKREN ,I make a salutation to all Victors with a measure of bodies the same as there are atoms in a (Buddha) field, with a mind directed towards all Victors, with the strength of (my) Aspiration for the Good Life,Kṣetra-rajopama-kāyă-pramāṇaiḥ sarva-Jināna karomĭ praṇāmam, sarva-Jinābhimukhena manena, Bhadra-carī-praṇidhāna-balena [2]
https://bitly/2qTKREN ,On the tip of each single atom Buddhas like atoms sit in the midst of the Sons of Buddhas (and) so I am totally and completely intent on the Dharma Element which is filled with Victors,Eka-rajāgri rajopama-Buddhā Buddha-sutāna niṣaṇṇaku madhye evam-aśeṣata Dharmata-dhātuṁ sarvadhimucyami  pūrṇa Jinebhiḥ [3]
https//bitly/2gSttKk, 25 15At that time the constellation Puṣya was auspicious and from the side of the queen who was purified by her vow her son was born for the welfare of the world without pain and without illness,tataḥ prasannaśca babhūva puṣyastasyāśca devyā vratasaṁskṛtāyāḥ |pārśvātsuto lokahitāya jajñe nirvedanaṁ caiva nirāmayaṁ ca || 125 (19)
https//bitly/2gSttKk, 26 Like the sun bursting from a cloud in the morning — so he too when he was born from his mother’s womb made the world bright like gold bursting forth with his rays which dispelled the darkness,prātaḥ payodādiva tigmabhānuḥ samudbhavanso pi ca mātṛkukṣeḥ |sphuranmayūkhairvihatāṁdhakāraiścakāra lokaṁ kanakāvadātam || 126*
https//bitly/2gSttKk, khānnirmale ca vinipetaturaṁbudhāre || 127*,taṁ jātamātramatha kāṁcanayūpagauraṁprītaḥ sahasranayaṇaḥ śanakairagṛhṇāt
https//bitly/2gSttKk, 27 As soon as he was born the thousand-eyed (Indra) well-pleased took him gently bright like a golden pillar and two pure streams of water fell down from heaven upon his head with piles of Mandāra flowers,maṁdārapuṣpanikaraiḥ saha tasya mūrdhnikhānnirmale ca vinipetaturaṁbudhāre || 127*
https//bitly/2gSttKk, 28 Carried about by the chief suras and delighting them with the rays that streamed from his body he surpassed in beauty the new moon as it rests on a mass of evening clouds,surapradhānaiḥ paridhāryamāṇo dehāṁśujālairanuraṁjayaṁstān |saṁdhyābhrajāloparisaṁniviṣṭaṁ navoḍurājaṁ vijigāya lakṣmyā || 128*
https//bitly/2gSttKk, 29 As was Aurva’s birth from the thigh 16 and Pṛthu’s from the hand 17 and Māndhātṛ’s who was like Indra himself from the forehead 18 and Kakṣīvat’s from the upper end of the arm 19 — thus too was his birth (miraculous),ūroryathaurvasya pṛthośca hastānmāṁdhāturiṁdrapratimasya mūrdhnaḥ |kakṣīvataścaiva bhujāṁsadeśāttathāvidhaṁ tasya babhūva janma || 129 (110)
https//bitly/2gSttKk, 30 Having thus in due time issued from the womb he shone as if he had come down from heaven he who had not been born in the natural way — he who was born full of wisdom not foolish as if his mind had been purified by countless aeons of contemplation,krameṇa garbhādabhiniḥsṛtaḥ san babhau gataḥ khādiva yonyajātaḥ |kalpeṣvanekeṣviva bhāvitātmā yaḥ saṁprajānan suṣuve na mūḍhaḥ || 130 (111)
https//bitly/2gSttKk, 31 With glory fortitude and beauty he shone like the young sun descended upon the earth when he was gazed at though of such surpassing brightness he attracted all eyes like the moon,dīptyā ca dhairyeṇa śriyā rarāja bālo ravirbhūmimivāvatīrṇaḥ |tathātidīpto pi nirīkṣyamāṇo jahāra cakṣūṁṣi yathā śaśāṁkaḥ || 131 (112)
https//bitly/2gSttKk, 32 With the radiant splendour of his limbs he extinguished like the sun the splendour of the lamps with his beautiful hue as of precious gold he illuminated all the quarters of space,sa hi svagātraprabhayojjvalaṁtyā dīpaprabhāṁ bhāskaravanmumoṣa |mahārhajāṁbūnadacāruvarṇo vidyotayāmāsa diśaśca sarvāḥ || 132 (113)
https//bitly/2gSttKk, 33 Unflurried with the lotus-sign in high relief 20 far-striding set down with a stamp — seven such firm footsteps did he then take — he who was like the constellation of the seven Ṛṣis,anākulānyabjasamudgatāni niṣpeṣavaṁtyāyatavikramāṇi |tathaiva dhīrāṇi padāni sapta saptarṣitārāsadṛśo jagāma || 133 (114)
https//bitly/2gSttKk, 34 I am born for supreme knowledge for the welfare of the world — thus this is my last birth’ thus did he of lion gait gazing at the four quarters utter a voice full of auspicious meaning,bodhāya jāto smi jagaddhitārthamaṁtyā tathotpattiriyaṁ mameti |caturdiśaṁ siṁhagatirvilokya vāṇīṁ ca bhavyārthakarīmuvāca || 134 (115)
https//bitly/2gSttKk, 35 Two streams of water bursting from heaven bright as the moon’s rays having the power of heat and cold fell down upon that peerless one’s benign head to give refreshment to his body,khātprasrute caṁdramarīciśubhre dve vāridhāre śiśiroṣṇavīrye |śarīrasaukhyārthamanuttarasya nipetaturmūrdhani tasya saumye || 135 (116)
https//bitly/2gSttKk, 36 His body lay on a bed with a royal canopy and a frame shining with gold and supported by feet of lapis lazuli and in his honour the yakṣa-lords stood round guarding him with golden lotuses in their hands,śrīmadvitāne kanakojjvalāṁge vaiḍūryapāde śayane śayānam |yadgauravātkāṁcanapadmahastā yakṣādhipāḥ saṁparivārya tasthuḥ || 136 (117)
https//bitly/2gSttKk, 37 The gods in homage to the son of Māyā with their heads bowed at his majesty held up a white umbrella in the sky and muttered the highest blessings on his supreme wisdom,māyātanūjasya divaukasaḥ khe yasya prabhāvātpraṇataiḥ śirobhiḥ |ādhārayan pāṇdaramātapatraṁ bodhāya jepuḥ paramāśiṣaśca || 137 (118)
https//bitly/2gSttKk, 38 The great dragons 21 in their great thirst for the Law 22 — they who had had the privilege of waiting on the past Buddhas — gazing with eyes of intent devotion fanned 23 him and strewed Mandāra flowers over him,mahoragā dharmaviśeṣatarṣādbuddheṣvatīteṣu kṛtādhikārāḥ |yamavyajan bhaktiviśiṣṭanetrā maṁdārapuṣpaiḥ samavākiraṁśca || 138 (119)
https//bitly/2gSttKk, 39 Gladdened through the influence of the birth of the Tathāgata the gods of pure natures and inhabiting pure abodes 24 were filled with joy though all passion was extinguished for the sake of the world 25 drowned in sorrow,tathāgatotpādaguṇena tuṣṭāḥ śuddhādhivāsāśca viśuddhasattvāḥ |devā nanaṁdurvigate pi rāge magnasya duḥkhe jagato hitāya || 139 (120)
https//bitly/2gSttKk, 40 When he was born the earth though fastened down by (Himālaya) the monarch of mountains shook like a ship tossed by the wind and from a cloudless sky there fell a shower full of lotuses and water-lilies and perfumed with sandalwood,yasmin prasūte girirājakīlā vātāhatā nauriva bhūścacāla |sacaṁdanā cotpalapadmagarbhā papāta vṛṣṭirgagaṇādanabhrāt || 140 (121)
https//bitly/2gSttKk, 41 Pleasant breezes blew soft to the touch dropping down heavenly garments the very sun though still the same shone with augmented light and fire gleamed unstirred with a gentle lustre,vātā vavuḥ sparśasukhā manojñā divyāni vāsāṁsyavapātayaṁtaḥ |sūryaḥ sa evābhyadhikaṁ cakāśe jajvāla saumyārciranīrito gniḥ || 141 (122)
https//bitly/2gSttKk, 42 In the north-eastern part of the dwelling a well of pure water appeared of its own accord wherein the inhabitants of the gynaeceum filled with wonder performed their rites as in a sacred bathing-place,prāguttare cāvasathapradeśe kūpaḥ svayaṁ prādurabhūtsitāṁbuḥ |aṁtaḥ purāṇyāgatavismayāni yasmin kriyāstīrtha iva pracakruḥ || 142 (123)
https//bitly/2gSttKk, 43 Through the troops of heavenly visitants who came seeking religious merit the pool itself received strength to behold Buddha and by means of its trees bearing flowers and perfumes it eagerly offered him worship,dharmārthibhirbhūtagaṇaiśca divyaistaddarśanārthaṁ balamāpa pūraḥ |kautūhalenaiva ca pādapaiśca prapūjayāmāsa sagaṁdhapuṣpaiḥ || 143 (124)
https//bitly/2gSttKk, 44 The flowering trees at once produced their blossoms while their fragrance was borne aloft in all directions by the wind accompanied by the songs of bewildered female bees while the air was inhaled and absorbed by the many snakes (gathering near) 26,puṣpadumāḥ svaṁ kusumaṁ pukulluḥ sasīraṇodrāmitadiksugaṁdhi |susaṁbhramadnṛgavadhūpagītaṁ bhujaṁgaṁvṛdāpihitāttavātam || 144*
https//bitly/2gSttKk, 45 Sometimes there resounded 27 on both sides songs mingled with musical instruments and tabours and lutes also drums tambourines and the rest from women adorned with dancing bracelets,kvacit kvaṇattūryamṛdaṁgagītairvīṇāmukuṁdāmurajādibhiśca |svīṇāṁ calatkuṁḍalabhūṣitānāṁ virājitaṁ cobhayapārścatastat || 145*
https//bitly/2gSttKk, 46 28That royal law which neither Bhṛgu nor Aṅgiras ever made those two great seers the founders of families their two sons Śukra and Vṛhaspati left revealed at the end,yadrājaśāstraṁ bhṛguraṁgirā vā na cakraturvaṁśakarāvṛṣī tau |tayoḥ sutau tau ca sasarjatustatkālena śukraśca bṛhaspatiśca || 146 (141)
https//bitly/2gSttKk, 47 Yea the son of Sarasvatī 29 I proclaimed that lost Veda which they had never seen in former ages — Vyāsa rehearsed that in many forms which Vaśiṣṭha helpless could not compile,sārasvataścāpi jagāda naṣṭaṁ vedaṁ punaryaṁ dadṛśurna pūrvam |vyāsastathainaṁ bahudhā cakāra na yaṁ vaśiṣṭhaḥ kṛtavānaśaktiḥ || 147 (142)
https//bitly/2gSttKk, 48 The voice of Vālmīki uttered its poetry which the great seer Cyavana could not compose and that medicine which Atri never invented the wise son of Atri 30 proclaimed after him,vālmīkinādaśca sasarja padyaṁ jagraṁtha yanna cyavano mahārṣiḥ |cikitsitaṁ yacca cakāra nātriḥ paścāttadātreya ṛṣirjagāda || 148 (143)
https//bitly/2gSttKk, 49 That Brahmanhood which Kuśika never attained — his son O king found out the means to gain it (so) Sagara made a bound for the ocean which even the Ikṣvākus had not fixed before him,yacca dvijatvaṁ kuśiko na lebhe tadgādhanaḥ sūnuravāpa rājan |velāṁ samudre sagaraśca dadhre nekṣvākavo yāṁ prathamaṁ babaṁdhuḥ || 149 (144)
https//bitly/2gSttKk, 50 Janaka attained a power of instructing the twice-born in the rules of Yoga which none other had ever reached 31 and the famed feats of the grandson of Śūra 32 (Kriṣṇa) Śūra and his peers were powerless to accomplish,ācāryakaṁ yogavidhau dvijānāmaprāptamanyairjanako jagāma |khyātāni karmāṇi ca yāni śauraiḥ śūrādayasteṣvabalā babhūvuḥ || 150 (145)
https//bitly/2gSttKk, 51 Therefore it is not age nor years which are the criterion different persons win pre-eminence in the world at different places those mighty exploits worthy of kings and sages when left undone by the ancestors have been done by the sons’,tasmātpramāṇaṁ na vayo na kālaḥ kaścitkvacicchraiṣṭhyamupaiti loke |rājñāmṛṣīṇāṁ ca hitāni tāni kṛtāni putrairakṛtāni pūrvaiḥ || 151 (146)
https//bitly/2gSttKk, 52 The king being thus consoled and congratulated by those well-trusted Brāhmans dismissed from his mind all unwelcome suspicion and rose to a still higher degree of joy,evaṁ nṛpaḥ pratyayitairdvijaistairāśvāsitaścāpyabhinaṁditaśca |śaṁkāmaniṣṭāṁ vijahau manastaḥ praharṣamevādhikamāruroha || 152 (147)
https//bitly/2gSttKk, 53 And well-pleased he gave to those most excellent of the twice-born rich treasures with all due honour — May he become the ruler of the earth according to your words and may he retire to the woods when he attains old age’,prītaśca tebhyo dvijasattamebhyaḥ satkārapūrvaṁ pradadau dhanāni |bhūyādayaṁ bhūmipatiryathokto yāyājjarāmetya vanāni ceti || 153 (148)
https//bitly/2gSttKk, 54 Then having learned by signs and through the power of his penances this birth of him who was to destroy all birth the great seer Asita in his thirst for the excellent Law 33 came to the palace of the Śākya king,athau nimittaiśca tapobalācca tajjanma janmāṁtakarasya buddhvā |śākyeśvarasyālayamājagāma saddharmatarṣādasito mahārṣiḥ || 154 (149)
https//bitly/2gSttKk, 55 Him shining with the glory of sacred knowledge and ascetic observances the king’s own priest — himself a special student among the students of sacred knowledge — introduced into the royal palace with all due reverence and respect,taṁ brahmavidbrahmavidāṁ jvalaṁtaṁ brāhmyā śriyā caiva tapaḥśriyā ca |rājño gururgauravasatkriyābhyāṁ praveśayāmāsa nareṁdrasadma || 155 (150)
https//bitly/2gSttKk, 56 He entered into the precincts of the king’s gynaeceum which was all astir with the joy arisen from the birth of the young prince — grave from his consciousness of power his pre-eminence in asceticism and the weight of old age,sa pārthivāṁtaḥpurasaṁnikarṣaṁ kumārajanmāgataharṣavegam |viveśa dhīro balasaṁjñayaiva tapaḥprakarṣācca jarāśrayācca || 156 (151)
https//bitly/2gSttKk, 57 Then the king having duly honoured the sage who was seated in his seat with water for the feet and an arghya offering invited him (to speak) with all ceremonies of respect as did Antideva 34 in olden time to Vaśiṣṭha,tato nṛpastaṁ munimāsanasthaṁ pādyārghyapūrvaṁ pratipūjya samyak |nimaṁtrayāmāsa yathopacāraṁ purā vasiṣṭhaṁ sa ivāṁtidevaḥ || 157 (152)
https//bitly/2gSttKk, 58 I am indeed fortunate this my family is the object of high favour that thou shouldst have come to visit me be pleased to command what I should do O benign one I am thy disciple be pleased to show thy confidence in me’,dhanyo smyanugrāhyamidaṁ kulaṁ me yanmāṁ didṛkṣurbhagavānupetaḥ |ājñāpyatāṁ kiṁ karavāṇi saumya śiṣyo smi viśraṁbhitumarhasīti || 158 (153)
https//bitly/2gSttKk, 59 The sage being thus invited by the king filled with intense feeling as was due uttered his deep and solemn words having his large eyes opened wide with wonder,evaṁ nṛpeṇopanimaṁtritaḥ sansarveṇa bhāvena muniryathāvat |savismayotphullaviśāladṛṣṭirgaṁbhīradhīrāṇi vacāṁsyuvāca || 159 (154)
https//bitly/2gSttKk, 60 This is indeed worthy of thee great-souled as thou art fond of guests liberal and a lover of duty — that thy mind should be thus kind towards me in full accordance with thy nature family wisdom and age,mahātmani tvayyupapannametat priyātithau tyāgini dharmakāme |sattvānvayajñānavayo nurūpā snigdhā yadevaṁ mayi te matiḥ syāt || 160 (155)
https//bitly/2gSttKk, 61 This is the true way in which those seer kings of old rejecting through duty all trivial riches 35 have ever flung them away as was right — being poor in outward substance but rich in ascetic endurance,etacca tadyena nṛparṣayaste dharmeṇa sūkṣmāṇi dhanānyapāsya |nityaṁ tyajaṁto vidhivadbabhūvustapobhirāḍhyā vibhavairdaridrāḥ || 161 (156)
https//bitly/2gSttKk, 62 But hear now the motive for my coming and rejoice thereat a heavenly voice has been heard by me in the heavenly path that thy son has been born for the sake of supreme knowledge,prayojanaṁ yattu mamopayāne tanme śṛṇu prītimupehi ca tvam |divyā mayā divyapathe śrutā vāgbodhāya jātastanayastaveti || 162 (157)
https//bitly/2gSttKk, 63 Having heard that voice and applied my mind thereto and having known its truth by signs I am now come hither with a longing to see the banner of the Śākya race as if it were Indra’s banner being set up’ 36,śrutvā vacastacca manaśca yuktvā jñātvā nimittaiśca tato smyupetaḥ |didṛkṣayā śākyakuladhvajasya śakradhvajasyeva samucchritasya || 163 (158)
